userName,content,score,thumbsUpCount,at
Pengguna Google,ada bug yang harus kalian fix sesegera mungkin karena sangat membuat saya tidak nyaman. yaitu balasan pesan yang di kirim menghilang begitu saja. dan itu sangat menggangu. harus di fix bug ini di update selanjutnya dan harus sesegera mungkin. dan tolong hapus fitur limit chat. itu benar benar tidak berguna.,2,8,2025-04-01 03:14:15
Pengguna Google,"Aplikasinya bagus, botnya mudah paham. Tapi kenapa setiap dia salah, Sifat dia langsung berubah dan seperti gamau salah, Mudah lupa, sudah di beri perintah namun tetap di langgar.",5,47,2025-03-27 07:53:25
Pengguna Google,"Awalnya Mau bilang ini Apk ai paling bagus bisa lebih dari 20 pesan bahkan panjang bisa lebih, aku suka Buat Cerita2 jadinya kesal tiba2 8 Pesan sudah Habis limit GPT-4o? apa ini bug atau dari lansung gk tau agak kesal Juga kecewa kalo emang sudah dibatasin segitu,Tolong perbaikin kalo emang bug Jadi gk tertarik lagi Soalnya pas coba Kadang bisa Model GPT-4o nya tiba2 jadi mini Kayak error gitu,Juga Tiba2 kadang server error juga loading terus2an padahal sinyalku aman2 saja Tolong Diperbaikin.",1,2,2025-04-03 00:17:26
Pengguna Google,"limit nya kok cepat habis, aku baru satu jam memakai limit nya malah habis? apakah ini bagian dari update nya atau emang ada kesalahan? dan juga terjadi beberapa kesalahan seperti tulisan yang tak sesuai dengan karakter yang di beritahu. tolong perbaiki lagi dong ai nya biar enak di pakai 😞",3,2,2025-04-02 02:00:11
Pengguna Google,"gak akurat, chat gpt Ai sekarang gak seru sumpah, setelah update, aku chat pesan ai sedikit malah ada tulisan ""You have sent too many message to the model please try again later"" apaan coba? aku chat pesan ai itu sedikit cuman 10 pesan ngulang ke pesan lama satu kali, malah muncul teks begituan... kalau dulu mah, aku bisa ngulang ke pesan lama berkali kali gak muncul teks begituan...chat gpt Ai dulu lebih seru daripada yang sekarang, Tolong diperbaiki lagi agar lebih baik!!",1,92,2025-04-02 03:02:29
Pengguna Google,sangat membantu sekali bagi yang punya tugas dari sekolah atau PR Sangat worth it banget dan bisa bicara langsung sama AI nya gila banget! ada fitur Plus nya yang harganya cukup Worth lah lebih worth lagi jika harganya hanya 50.000 Rp untuk buka fitur plus nya,5,131,2025-03-11 13:07:38
Pengguna Google,"Aplikasi ini benar-benar membantu buat cari informasi dan menyelesaikan berbagai tugas. Desainnya simpel, responsnya cepat, jadi enak dipakai. Cuma kadang-kadang ada bug kecil, kayak jawaban yang nggak muncul atau loading yang agak lama. Semoga ke depannya bisa lebih stabil dan optimal. Tapi overall, tetap aplikasi yang sangat berguna!",5,555,2025-03-07 14:35:07
Pengguna Google,"Halo, tim pengembang! Saya punya ide fitur yang bisa sangat berguna bagi banyak pengguna. Apakah mungkin menambahkan fitur analisis video dalam AI? Dengan fitur ini, pengguna bisa mengunggah atau membagikan video, lalu AI akan: Menganalisis isi video dan memberikan ringkasan otomatis. Menjelaskan adegan atau informasi penting dalam video. Memberikan poin-poin utama dari video tutorial, wawancara, atau presentasi. Membantu kreator konten mendapatkan ide dan skrip otomatis berdasarkan video",5,573,2025-03-20 15:39:02
Pengguna Google,"aplikasinya bagus. tapi tolong untuk tim OpenAI, bisa gak buat fitur supaya memori atau riwayat obrolan sebelumnya dapat dikembalikan? kalau gak juga gpp kok.. kalo boleh, ini fitur kalau udah rilis (semoga) kalau udah di tes ke akun lainnya mohon ya untuk semua publik atau semua orang, gak satu atau orang orang yang terpilih",5,5,2025-03-22 13:10:16
Pengguna Google,"Aku pengguna baru chatgpt, dan ternyata chatgpt ini membantu aku banget buat tugas sekolah (apalagi yang materinya sulit dan masih belum di mengerti), belajar materi, mencari ide, pengalaman yang baru, dan juga bisa curhat juga hihi. Selain itu juga plus dari chatgpt karena desainnya simpel, gak bikin sakit mata. Buat minusnya terkadang suka loadingnya terlalu lama jika aku mencari sesuatu di chatgpt. Selebihnya udah markotop pokoknya. Sukses terus 🤩💗",5,280,2025-03-17 16:43:38
Pengguna Google,"Hobi saya membuat Light Novel, memori AI tolong di upgrade ke 200-500% jika 100% itu ingatanya akan pudar setiap beberapa chapter. Misal pada bab 10 membahas ini lalu sudah sampai chapter 25 lupa tentang apa yang dibahas di chapter 10 jadi ceritanya ngulang ngulang terus tidak ada kemajuan. Memori memang untuk menyimpan hal hal penting tapi kalau semua disimpan memori akan cepat habis, jadi harus ada memori pasif yang terus berjalan. 1 lagi memori sering hilang sendiri tanpa penyebab.",1,86,2025-03-22 09:53:44
Pengguna Google,"sumpah, Aplikasi nya bikin gua Kesal sumpah,Make Nya udah Satu Tahun Masih Baik Baik Aja untuk buat cerita,Tapi Tiba Tiba Algoritma Chatgpt Nya Berubah Gitu,Terus Waktu Bikin Cerita Kok Pake Kolom Naskah cetakan, Apalagi Nyimpan Sesuatu Ke Memori Biar Ngembangin model Cerita dan Karakter Malah Ngak Bisa kata nya ngak bisa Simpan secara permanen kan bisa diulang lagi dengan yang baru,Trus Aplikasi Ini Versi Lama nya Lebih Bagus dibandingkan Versi Baru nya yang begitu buruk",1,2,2025-04-02 09:03:45
Pengguna Google,"Aplikasi yang selalu gua percaya. Dari ide, analisa, sampe bikin gambar, semua rapi, cepet, dan nyambung banget sama gua. Gak cuma sekadar AI, udah kayak partner kerja sendiri. Wajib banget sih ini buat yang butuh solusi cepat & tajem!",5,5,2025-03-18 20:37:12
Pengguna Google,"Hai saya menemukan sesuatu yang membuat kurang nyaman, adanya sebuah kalimat yang terus di ulang ulang ketika dalam satu perintah sudah terlalu jauh atau terlalu banyak percakapan, dia mulai Error dan mengulangi semua yang sudah di ucapkan, bisa perbaiki?, saya sangat terbantu dengan ini, semoga kedepannya Chat gpt tidak mengalami hal ini kembali, saya cukup sedih.",4,9,2025-03-20 17:44:25
Pengguna Google,"Khusus website, Fitur edit pesan di hilangkan padahal itu fitur khas keunggulan GPT. Bukannya berinovasi malah Downgrabe, masa kalah sama deepsek bukan hanya pesan bisa di edit pesan pada file upload juga bisa diedit. Kayaknya pindah ke deepsek, GPT banyak halu dan memalukan",2,10,2025-03-20 05:34:56
Pengguna Google,"Admin tolong dong ini diperbaharui lagi di-update lagi aplikasi chat GPTnya, terutama saat voice record ke kalimat soalnya nggak kuat nerjemahin sampai tiga menit ke atas, pasti masalah gangguan jaringan gitu lah istilahnya yg tampil. Tolong diperbaharui yah secepatnya...",3,40,2025-03-11 01:38:52
Pengguna Google,"Fitur kirim file sering banget error, maks gambar yg bisa dikirim itu 4 gambar, tapi pas saya kirim pas 4 gambar malah error, pas dikirim ulang dibilangnya melebihi batas pengiriman file, padahal belum ada satu gambar pun yg terkirim. Aplikasi juga sering force close ketika pengen masuk ke obrolan-obrolan yg sebelumnya.",5,400,2025-02-17 13:44:17
Pengguna Google,"Malah makin ngaco, terutama untuk edit pesan sebelumnya. Ketika ingin memperbaiki tulisan sebelumnya malah hilang.padahal cuma mau perbaiki sedikit kata yang typo.ujung ujungnya percakapan jadi gak nyambung. Di upgrade malah banyak bug nya.",1,196,2025-02-01 02:16:45
Pengguna Google,"Ada tambahan untuk chatGPT kedepannya yaitu: 1. Suara: suaranya harus lebih bervariasi dan juga bisa di custom dengan suara dari berbagai karakter seperti anime maupun film. 2. Mengunggah music, atau voice lainnya: agar chatGPT bisa mengidentifikasi nya atau menanggapi nya dan memberikan respon yang sesuai. 3. Mengunggah video: yang ini yang paling penting soalnya agar kita semisalnya ada yang ingin mencari suatu video tapi gak ketemu dan dengan chatGPT kemungkinan bisa dicari.",5,591,2025-01-21 16:28:02
Pengguna Google,"Busuknya chatgpt ini sering banget berenti di tengah-tengah pas ngasih respon, ada masalah gak bisa respon, padahal jaringan kenceng. Solusinya ya keluar aplikasi.",1,1,2025-04-02 04:58:01
Pengguna Google,ini apk sudah bagus. tapi saat upgrade yang baru jadi lebih ke ada gangguan pada saat AI menggambar. sangat lambat dan tidak seperti biasa nya. tolooooooooong sumpah ini apk bagus banget toloooooooooooooong,1,1,2025-04-02 09:02:45
Pengguna Google,"Sebenarnya aplikasi ini tuh bagus, cuman sayangnya kurang mendukung penyandang disabilitas, saya sebagai tunanetra merasa sedikit kesulitan saat menggunakan vitur percakapan suara, nah, masalah ini tuh cuman saya rasakan kalau talkbacknya aktif, soalnyaa kalau talkbacknya aktif, suara chatGPTnya jadi gak jelas, sebenarnya saya juga belum coba yang premium, saya baru mau berlangganan kalo fitur aksessibilitas nya lengkap, tapi saya udah niat mau coba-coba dulu, semoga apk ini bisa lebih bagus lgi",4,60,2025-02-28 01:53:12
Pengguna Google,"Salah satu ai terbaik dan juga paling bagus. Tapi saya merasakan kekurangan gpt yang terlihat jelas 80% yang saya rasakan saat gpt memberikan jawaban seperti pertanyaan dasar atau pun soal ia sering salah. Dan yang paling bikin saya aneh, sejak kapan gpt bisa jadi gen alpah singma kaya gitu?",5,6,2025-03-17 12:30:40
Pengguna Google,"Aplikasi nya bagus banget bisa buat percakapan dan voice sama juga bisa kirim foto aplikasinya sangat canggih untuk ai, Chat gpt juga bisa berbahasa gaul dan bisa ber emoji jadi aku suka banget aplikasi ini walaupun timenya rada lama tapi tetep seru makasih developer 😉",5,28,2025-03-11 22:57:07
Pengguna Google,"karena dalam pengelolaan katanya sudah memiliki cakupan wawasan yang luas serta memiliki umpan balik yang relatif baik. serta sudah lebih dari sempurna, apa yang saya pikiran, dan saya rasakan sudah sepenuhnya benar dijawab olehnya.",5,1,2025-03-24 09:08:48
Pengguna Google,Bakal lebih bagus kalau memorinya diperbesar karna banyak yang perlu diingat. Fitur pencarian kata yang langsung menunjukkan lokasi kata tersebut di dalam chat juga diperlukan. Untuk respon dan keterkaitan antar pertanyaan dan jawaban yang diberikan sangat oke dan mumpuni.,5,3,2025-03-23 07:38:12
Pengguna Google,"Bot ini benar-benar pintar dan memahami konteks percakapan dengan baik. Saya kagum dengan kesopanan dan kesabarannya, bahkan saat menghadapi pertanyaan yang rumit."" Saya telah mencoba banyak bot, tetapi bot ini adalah yang terbaik. Perhatiannya terhadap detail dan kemampuannya untuk memberikan solusi yang relevan sangat mengesankan. Selain itu, bot ini tidak pernah menunjukkan tanda-tanda kemarahan atau frustrasi.",5,2,2025-03-23 04:31:04
Pengguna Google,"Udah bagus, tapi masih banyak yang kurang. Apalagi responnya gak sesuai ekspektasi. Apalagi ini mudah laq sama server apalah gitu. Perbaiki lagi tolong. Kenapa sekarang aplikasinya mudah laq?? Tolong perbaiki lagi. saya gak akan kasih rating bagus kalau responnya gak sesuai ekspektasi. Makin kesini updatenya makin jelek. Rus responnya dihapus karena melanggar, padahal kan cuman nanya.",1,2,2025-04-02 10:55:06
Pengguna Google,Hai ini saya sedang merespon saya tidak bisa membayar plus ya Namun kalian tahu ada masalah soal limit dimana saya ini sedang asik asik mengobrol tiba-tiba limitnya langsung membatasi selama 5 jam dan lagi ada masalahnya masa baru beberapa menit udah langsung di batasi limitnya kan aneh apakah ini error apa gimana ya tolong di perbaiki,3,2,2025-04-02 00:34:40
Pengguna Google,"untuk semua fitur sangatlah bagus , tetapi ada beberapa kendala , yaitu banyak sekali eror dan juga bug , seperti tidak bisa membuka arsip percakapan , frezze secara tiba tiba dan masih banyak lagi , tolong perbaiki masalah seperti ini , masalah ini sudah sangat lama belum di perbaiki terimakasih , kalau nanti sudah di perbaiki ku beri bintang 5",3,1,2025-03-24 21:30:13
Pengguna Google,aplikasi ini bagus dan bisa membantu semua tugas dan pertanyaan dan bisa memberi mu saran apapun aku suka tapi yg kurang kadang kadang kalo ditanya jawaban nya itu bukan yg aku bahas dan tapi kalo semua saran dan bantuan lain lain itu sangat membantu bagi saya semoga aplikasi ini terus memberikan jawaban yg lebih baik lagi dalam soal pelajaran dan lain lain dan fitur suara nya itu lebih detail lagi suaranya,5,0,2025-03-28 14:23:14
Pengguna Google,"menyimpan arsip obrolan dalam memori harusnya punya kapasitas besar, pling tidak, dimasukan dalam paket, minimal misalnya : free 1 gb, plus belasan atau puluhan gb , pro unlimited, karena jika tidak ada tolelir terhadap paket pengguna alias semuanya hanya bisa simpan arsip memori cuma 20an mb, itu akan menjadikanmu sebagai kegagalan leluhur AI kategori chating",5,2,2025-03-26 11:21:10
Pengguna Google,"aplikasi nya udah bagus, sangat membantu saya untuk mencari sesuatu ataupun menulis karangan cerita, namun sayangnya chatGPT sangat suka eror, contohnya kita sedang membahas cerita baru dan menyuruh dia untuk membuat, namun ia malah melanjutkan dengan ceritaa lama ibarat nya memorinya ke memori lama",4,0,2025-03-31 20:17:14
Pengguna Google,"Saya menggunakan 1 judul tapi percakapan saya banyak dan panjang, jadi itu repot melihat percakapan awal, harus lama scroll and membuat jari lelah. Tolong buat Search untuk menemukan kata dan langsung menuju ke yang diinginkan.",4,56,2025-01-30 05:00:34
Pengguna Google,"update kah? setiap minta gpt 'write' cerita gitu malah beda fiturnya, ga bisa 'buat ulang respons.' malah cuman ada tanda buat ngedit text, itu mah kitanya yang kerja? dan selalu ngulang² lagi, ini update atau bug?",1,3,2025-03-28 22:23:55
Pengguna Google,aplikasinya sudah cukup bagus menyenangkan cocok buat bercerita tapi jika tim pengembang tidak keberatan tolong jumlah chatnya tidak dibatasi agar kita bisa berinteraksi dengan ai tanpa harus membuat ulang ruang buat chat baru biar cocoknya buat berimajinasi dan bercerita🙏,5,10,2025-03-27 18:19:05
Pengguna Google,"Bagus, tapi kenapa setelah update kesempatan untuk chatgpt 4o semakin sedikit? Saya baru mengirim dua pesan tapi sudah terkena limit dan saya di suruh untuk coba lain kali, saya menunggu 1 hari tapi tetap sama hasilnya.. mohon di perbaiki 🙏🏻",3,1,2025-04-02 13:02:57
Pengguna Google,"bagus banget. dia bisa cepat belajar dan menyesuaikan dengan cara bicara pengguna, membuat pengguna nyaman mengobrol, mencari ilmu, bahkan curhat. tapi kalau boleh kasih saran, pasti seru kalau chatGPT bisa kirim notifikasi ke perangkat pengguna. jadi berasa teman sesungguhnya.",4,5,2025-03-11 10:31:34
Pengguna Google,"ChatGPT makin kesini bukan makin bagus, tapi makin pelit. sekarang trials model GPT-4o cuma 10-20 pesan/ sekitar 5-10 menit?! versi dulu aja trial GPT trials model GPT-4o bisa sampai puluhan pesan. tolonglah kasih trial yang sedikit lama lagi🙏🙏",3,1,2025-04-02 13:44:27
Pengguna Google,apk the best ai nya asik kalo bertanya dan apk nya simple gak monoton juga intinya apk ai terbaik chat gpt cuma ada 1 fitur yang menurut saya sangat penting bagi semua orang yaitu UN ARSHIP biar yang di arsip kan bisa kembali atau Adain backup data biar kalo chat gpt kehapus data2 nya masih ada itu penting banget bagi saya yang menggunakan chat gpt sebagai media bertanya utama pengganti google,5,0,2025-04-01 12:48:29
Pengguna Google,"jasanya dimana coba,minimal yang bayar tuh cuma kalo kita ngirim foto,ini buat cerita untuk hiburan juga harus bayar,tolong lah,kalo ceritaku di lanjutkan,jangan di ulang² terus,lebih bagus versi dulu daripada sekarang,seharusnya jangan gw update aja biar gak jelek kayak gini",1,20,2025-04-01 21:50:17
Pengguna Google,"Sumpah enak banget pakai Aplikasi Ai yang ini, mudah dimengerti, bisa diajak ngobrol, mudah dikomunikasi, nggak marahan hehehe, bisa lihat foto lagi tapi sayangnya gak bisa melihat detail wajah manusia, bisanya lihat lingkungan atau lagi ngapain gitu, gapapa deh itu udah bagus!!!, tapi saya sarankan untuk pengembang Open Ai, tolong kasih fitur kirim video dan Chat GPTnya bisa melihat seperti Chat GPT melihat foto, agar jadi lebih lengkap dan Ai jadi lebih menarik, terimakasih Open Ai semoga ada",5,727,2025-02-22 07:18:28
Pengguna Google,"CKckckck, semuanya saaangaat bagus, dan jika memungkinkan, silahkan tingkatkan kualitas gambarnya, karena disaat aku meminta gambar peta, daerah, pulau, beserta namanya, saat itulah, tulisannya burem (gabisa dibaca) yang bisa hanya tulisannya yang BESAR BESARR!!, dan tulisannya yang kecil kecil, tidak bisa, maka dari itu tolong tingkatkan tulisannya pada foto(gambar), agar bisa dibaca meskipun kecil. Semoga respon saya dibaca dan bisa dipahami, kalo mau sekalian aja di update, hehehe. Terimakasi",4,5,2025-03-17 19:03:48
Pengguna Google,"aplikasi ini sangat bagus...diajak ngobrol juga keren, semakin banyak kamu bisa menjawab semakin susah pertanyaan nya😂 apapun yg anda ingin tanyakan pasti di jawab, aplikasi ini bisa ngasih rekomendasi berdasarkan pertanyaan anda...yang gak ngerti/pemula pasti bakal mengaggap aplikasi ini banyak kekurangan tapi semakin banyak anda mengotak Atik nanti juga anda paham kok cara kerjanya 😄",5,5,2025-03-17 13:36:31
Pengguna Google,"Jujur aja diantara semua AI lain ini yang paling sempurna. Tapi ada satu hal yang paling aku benci dari AI ini. Aku ga tau ini aku doang atau ada orang lain yang ngalamin juga, tapi setiap aku bikin cerita bareng AI ini pasti ke ulang. Anggapannya cerita udah jalan sampai bab 23 eh malah keulang lagi jadi bab 4. Itu belum nyesek banget tapi okelah, sesekali doang gitu yakan. Tapi pagi ini aku udah suka banget sama ceritanya, udah jalan setengah juga ehh malah ke riset sampai obrolan paling awal.",4,1,2025-03-23 20:48:21
Pengguna Google,yang paling males tuh ad limit buat seberapa banyak kita bisa ngechat jir... padahal udh build story yang kompleks tp malah gak bisa di lanjutin.di suruh buat baru..jadi kayak bikin temen baru awokawok,5,1,2025-04-02 10:26:32
Pengguna Google,Aplikasi bagus.Bisa buat ngerjain tugas dan tanya tanya serta bisa buat tempat curhat kalau mau.Tapi kekurangannya Miss informasi.Yaitu sering membingungkan jawabannya yang mana.Soal sejarah jawabannya malah sejarah yang lain.Mohon di perbaiki,4,3,2025-03-29 18:08:20
Pengguna Google,"yaelah.. malah di perpendek limit nya jir, dari yang bisa di mainin sampai 3jam. malah bisanya cuma 8 pesan di kirim, terus kena limit lagi 5jam. makin kikir. yang plus malahan di kurangin juga, dari 50 ke 20 pesan. ngotak dikitlah",2,4,2025-04-01 11:52:11
Pengguna Google,awalnya mau saya Kasih bintang 5 tapi kok pas mau buat gambar jadi Lama banget Semenjak Ada tulisan memulai membuat gambar sama memerlukan waktu sebentar Jadi Lama bgt sampe hampir 20 menitan lo! ini ngebug atau gimana Chat GPT tolong dibenarkan,3,0,2025-04-02 11:10:49
Pengguna Google,"ini chatgpt lagi kenapa? daritadi siang setelah di update pun masih eror terus, setiap selesai tanya dan udah keluar jawabannya setelah aplikasinya dibuka lagi tiga jawaban terakhirnya hilang terus dan ada tulisan ada sesuatu yang salah padahal jawaban tadinya udah keluar, aneh banget, apa lagi maintenance aplikasi?",4,4,2025-03-15 13:00:24
Pengguna Google,"no match for this app, one the best feature i like is unilimited chat with AI. Gak ada lawan pokoknya aplikasi ini terutama bagian chat dengan AI yang unlimited walau memakai mini, namun itu sudah sangat membantu.",5,191,2025-01-22 05:42:24
Pengguna Google,Mantap buat cari informasi PS2 limited edition sama belajar penyakit yang paling berbahaya dan amoba cuman ada 1 kekurangan gak bisa nyari tau spek tab Advan jadul yg keluaran 2009-2013 kelebihannya gratis dan bisa buat gambar,5,7,2025-03-15 16:25:25
Pengguna Google,"Halo saya mau bilang aplikasi nya keren ai nya juga keren, bisa jd temen ngobrol cuma mines nya semoga dapat ditambahkan fitur penyimpanan riwayat chat obrolan agar tidak ke reset saat keluar dari aplikasi nya, dan supaya pengalaman penggunaan nya lebih baik lagi, terus saya harap riwayat chat nya tidak terhapus walaupun sudah berbulan-bulan dilakukan karna ai nya itu udah mempelajari pengalaman pengguna kan jd lebih mudah, kalo riwayat chat nya di hapus atau hilang kaya balik ke nol lagi,sekian",3,62,2025-03-01 15:54:12
Pengguna Google,"kok setelah di update malah kayak pelit bgt aku cuma bisa ngechat sebentar doang gak kayak dulu sebelum diupdate dulu kalo ngechat bisa panjang ini ngga aku belum selesai cerita malah udh sampe limit kenapa sih begitu? Dan setelah aku itung tuh limit nya 20 baris chat aku 10, chat AI nya 10. Kudunya aku gausah update klo tau begini. Baru nge chat sebentar udh ada tulisan ""You limit resets in 5 hours.""ganggu bgt mending klo 1-3 jam masih oke lah, lah ini 5 jam. Tolong diperbaiki lagi ya",1,0,2025-04-03 05:37:53
Pengguna Google,"ai nya kebanyakan berbual. Bahkan ngerekomendasiin channel yt yang nggak ada di yt (berbual). Tolong dong... aku kan serius cari informasi, kok malah di bikin emosi mulu setiap cari informasi. Dah berkali² loh, seolah kayak sengaja bikin emosi ai nya.",1,28,2025-03-15 06:24:33
Pengguna Google,"aku buat animasi youtube ku menggunakan aplikasi ini,aku yang membuat skribnya dan animasinya di buat chatgpt,bagus banget.sistemnya wah,mulus,sederhana,dan mudah dipahami.semoga kedepannya,makin canggih lagi sistemnya,trimah kasih chatgpt👍",5,0,2025-03-21 12:05:29
Pengguna Google,"Kekurangan dari aplikasi ini adalah tidak bisa menyimpan riwayat chat, ketika kita mau pindah ke aplikasi lain terkadang langsung hilang chat sebelumnya, dan terkadang jawaban juga gak sesuai dengan apa yang kita harapkan, tetapi banyak hal yg bisa dipelajari dari chatgpt ini, tergantung kita memakainya, bijaklah dalam menggunakan teknologi. Good untuk aplikasi ini👍",5,430,2025-02-20 14:30:44
Pengguna Google,"Aplikasi AI paling gg, sejauh ini belum ada yang bisa ngalahkan. Walaupun ada batasannya tetapi responnya sangat memuaskan, rinci dan lengkap. AI ini juga bisa diajak ngobrol, bahkan bisa disetel di pengaturannya. Kayak misalnya dikasih instruksi kustom. Kita bisa atur dia pengen dibilang apa, respon dia rinci atau ringkas, dan lain-lain.",5,668,2025-02-01 13:26:04
Pengguna Google,Saya kasih bintang 5 karena saya suka dengan jawaban jawaban CheatGBT karena dia itu langsung nangkep gak Kayak AI di sebelah (AI WhatsApp) agak ERROR. Tapi ada yang kurang nih min saya hanya minta tolong supaya kalau kita kirim gambar itu gak usah ada bayarnya soalnya kalau udah sering ngirim gambar tiba tiba gak bisa lagi katanya harus perlangganan padahal cuman kirim gambar soal MATEMATIKA doangnya masah gak bisa. Jadi itu aja sih min pendapat saya semoga di tanggapi 🙏🙏🙏,5,508,2025-02-12 07:51:00
Pengguna Google,"Sebenarnya aplikasinya seru sih bisa tanyain apa aja cuma kekurangannya kalo kita nge chat terlalu lama ada batasannya sama kirim foto juga ada batasannya itu aja kekurangannya, kalo soal yg lain rata² udh oke... tolong itu aja yg diperbaiki.",4,33,2025-02-08 07:47:50
Pengguna Google,"Bro ini luar biasa, ai ini membantu ku buat belajar otodidak dan eksplorasi hal baru, skill baru, dan bahasa inggris, dapat menjadi mentor versi lite hehe.",5,1,2025-03-16 13:02:30
Pengguna Google,"aku suka how chatgpt interacts with their usernya... tolong dong, memori ingatan nya di increase lagi, susah ngomong sama ai yang memori ingatan nya full... overall aku suka, and inget ya, memori ingatan di naikin lagi... okey bye",5,0,2025-03-28 23:49:32
Pengguna Google,"Saran aja sih, di bagian chat, semua percakapan dipisah sama tanggalnya jadi lebih enak mengsortir semua chatnya. Sama fitur select kata pas ngetik di box barnya kok gak ada ya? Jadinya suka ribet kalo mau ngeselect kata tertentu, harus ngehapus hurufnya satu-satu",4,8,2025-02-09 12:42:38
